start_node_id,end_node_id,properties.Year,properties.Percentage,properties.VotesReceived
Monitored coherent matrix,Best Supporting Actor,2004,53,95
Devolved encompassing productivity,Best Adapted Screenplay,2003,78,113
Synchronized bi-directional approach,Best Cinematography,2019,97,293
Open-architected optimal standardization,Best Adapted Screenplay,2011,14,47
Public-key directional parallelism,Best Director,2006,48,305
Vision-oriented national algorithm,Best Adapted Screenplay,2012,48,469
Implemented zero tolerance knowledgebase,Best Supporting Actor,2020,73,508
Virtual asymmetric policy,Best International Feature,2000,6,672
Balanced systemic methodology,Best Picture,2020,49,578
Function-based asynchronous budgetary management,Best Supporting Actor,2006,14,683
