name,creationYear,duration,original,description,topics
First Sky,2001,2:22,True,First Sky is a song that A soulful composition that explores the complexity of sunrise.,"['Jazz', 'Relax']"
Last beyond the Day,2000,5:10,True,Last beyond the Day is a song that An anthem that resonates with the feeling of sunset.,"['Pop', 'Love']"
Sunrise without a Sunset,1985,5:31,True,Sunrise without a Sunset is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Last to the Sunset,1985,3:58,True,Last to the Sunset is a song that A soulful composition that explores the complexity of star.,"['Pop', 'Love']"
Heart of the Sunrise,1983,2:53,False,Heart of the Sunrise is a song that A soulful composition that explores the complexity of night.,"['Rock', 'Sad']"
Moon under the Heart,2009,5:59,False,"Moon under the Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Bright Sky,1990,2:23,True,"Bright Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Lonely Sunrise,2009,4:33,False,Lonely Sunrise is a song that A soulful composition that explores the complexity of love.,"['Rock', 'Sad']"
Bright Moon,2010,5:27,True,"Bright Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
First Sunset,2003,2:06,False,First Sunset is a song that A soulful composition that explores the complexity of sunrise.,"['Hip-Hop', 'Energetic']"
Night in the Love,1988,5:36,False,Night in the Love is a song that An anthem that resonates with the feeling of heart.,"['Jazz', 'Relax']"
Last Sunrise,1982,5:00,False,Last Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Final without a Love,2010,2:46,False,"Final without a Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Last Day,2019,5:18,False,Last Day is a song that A soulful composition that explores the complexity of heart.,"['Jazz', 'Relax']"
Last for a Night,2016,2:09,True,Last for a Night is a song that A soulful composition that explores the complexity of sunset.,"['Hip-Hop', 'Energetic']"
Eternal Sky,2015,5:17,True,Eternal Sky is a song that Evokes the essence of lonely experiences.,"['Hip-Hop', 'Energetic']"
Star without a Sky,2003,5:34,False,Star without a Sky is a song that An anthem that resonates with the feeling of moon.,"['Rock', 'Sad']"
Happy without a Sunset,2010,4:46,True,Happy without a Sunset is a song that Evokes the essence of broken experiences.,"['Hip-Hop', 'Energetic']"
Broken Love,1985,4:26,False,Broken Love is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Eternal beyond the Heart,1981,3:10,True,Eternal beyond the Heart is a song that An anthem that resonates with the feeling of sky.,"['Rock', 'Sad']"
Broken in the Love,1999,2:48,False,"Broken in the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Sunrise without a Love,2007,3:04,False,Sunrise without a Love is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Day in the Sky,1990,5:33,False,Day in the Sky is a song that A soulful composition that explores the complexity of day.,"['Rock', 'Sad']"
Eternal beyond the Day,1983,5:51,True,Eternal beyond the Day is a song that A soulful composition that explores the complexity of moon.,"['Hip-Hop', 'Energetic']"
Star beyond the Heart,1994,5:11,True,Star beyond the Heart is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Lonely of the Night,1985,3:00,False,Lonely of the Night is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Happy Sky,2009,4:03,False,Happy Sky is a song that Evokes the essence of happy experiences.,"['Rock', 'Sad']"
First Night,2017,2:44,True,First Night is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Sky without a Moon,1981,3:04,True,Sky without a Moon is a song that Evokes the essence of happy experiences.,"['Hip-Hop', 'Energetic']"
Beautiful Star,1994,3:55,True,Beautiful Star is a song that An anthem that resonates with the feeling of day.,"['Hip-Hop', 'Energetic']"
Bright Moon,1990,5:58,True,Bright Moon is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Dark to the Sunset,1987,4:10,True,"Dark to the Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Happy for a Night,2005,2:03,False,Happy for a Night is a song that A soulful composition that explores the complexity of heart.,"['Hip-Hop', 'Energetic']"
Beautiful beyond the Love,2023,3:26,True,Beautiful beyond the Love is a song that An anthem that resonates with the feeling of sky.,"['Hip-Hop', 'Energetic']"
Night beyond the Sunrise,1984,3:53,False,Night beyond the Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Eternal Dream,1985,4:26,False,Eternal Dream is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Eternal of the Dream,2005,3:50,True,"Eternal of the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Lonely to the Love,1983,3:05,True,Lonely to the Love is a song that An anthem that resonates with the feeling of day.,"['Pop', 'Love']"
Eternal for a Dream,1998,4:14,False,Eternal for a Dream is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Dream of the Sky,1999,2:29,True,"Dream of the Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last without a Sunrise,2012,3:36,False,"Last without a Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Dark under the Star,1999,3:36,True,Dark under the Star is a song that An anthem that resonates with the feeling of night.,"['Hip-Hop', 'Energetic']"
Eternal to the Night,1991,3:59,True,Eternal to the Night is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Moon to the Heart,1980,2:34,True,Moon to the Heart is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Lonely to the Dream,2005,4:05,False,"Lonely to the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Happy Star,1993,5:17,True,Happy Star is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Bright for a Day,2017,5:08,False,Bright for a Day is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Love for a Day,2016,2:28,True,"Love for a Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Happy Moon,1990,2:58,False,Happy Moon is a song that Evokes the essence of lonely experiences.,"['Jazz', 'Relax']"
Final Love,2015,4:51,True,"Final Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Beautiful of the Star,1992,2:44,False,Beautiful of the Star is a song that A soulful composition that explores the complexity of sky.,"['Hip-Hop', 'Energetic']"
Final Night,2022,5:47,False,Final Night is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Bright Day,1982,3:03,False,"Bright Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Dream to the Night,2012,2:36,False,Dream to the Night is a song that Evokes the essence of happy experiences.,"['Pop', 'Love']"
Lonely Star,1985,2:48,False,Lonely Star is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Sunset to the Sky,1989,2:33,False,"Sunset to the Sky is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Eternal Sunset,1984,2:21,True,Eternal Sunset is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Sky in the Dream,2002,2:58,False,Sky in the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Bright Star,1989,4:50,False,Bright Star is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Final Dream,2023,4:41,False,Final Dream is a song that A soulful composition that explores the complexity of love.,"['Pop', 'Love']"
Last beyond the Sunrise,1981,3:31,True,Last beyond the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Bright Dream,1992,2:50,True,Bright Dream is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Lonely Moon,2019,3:48,True,"Lonely Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Happy Star,1981,2:45,False,Happy Star is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Day in the Day,1999,4:43,True,Day in the Day is a song that A soulful composition that explores the complexity of sunrise.,"['Jazz', 'Relax']"
Eternal Day,1980,2:43,True,Eternal Day is a song that Evokes the essence of first experiences.,"['Jazz', 'Relax']"
First Sunrise,2016,4:38,False,"First Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
First Day,1988,5:50,False,First Day is a song that Evokes the essence of first experiences.,"['Rock', 'Sad']"
Sunset under the Night,1996,2:27,True,Sunset under the Night is a song that An anthem that resonates with the feeling of sunset.,"['Pop', 'Love']"
Dark for a Star,1988,4:23,False,Dark for a Star is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Beautiful beyond the Love,1990,2:34,False,Beautiful beyond the Love is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Bright Star,1994,2:46,False,Bright Star is a song that Evokes the essence of last experiences.,"['Hip-Hop', 'Energetic']"
Lonely in the Dream,2003,3:10,False,Lonely in the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Sunset for a Moon,2017,5:50,True,Sunset for a Moon is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Happy for a Star,2014,2:16,False,Happy for a Star is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Last Star,2009,4:59,True,Last Star is a song that Evokes the essence of eternal experiences.,"['Rock', 'Sad']"
Dark to the Night,2010,3:39,True,Dark to the Night is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Last in the Star,1984,3:56,True,Last in the Star is a song that Evokes the essence of happy experiences.,"['Rock', 'Sad']"
Night to the Night,2023,5:57,True,Night to the Night is a song that A soulful composition that explores the complexity of moon.,"['Hip-Hop', 'Energetic']"
Bright Moon,1993,4:36,False,"Bright Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Beautiful of the Day,1990,4:20,False,Beautiful of the Day is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Dream under the Moon,1988,5:27,False,Dream under the Moon is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Sky in the Heart,2013,2:16,True,Sky in the Heart is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Final Night,1991,2:35,True,Final Night is a song that An anthem that resonates with the feeling of moon.,"['Jazz', 'Relax']"
Bright Sky,2014,3:18,True,Bright Sky is a song that A soulful composition that explores the complexity of sky.,"['Rock', 'Sad']"
Final Dream,2014,4:26,False,Final Dream is a song that A soulful composition that explores the complexity of sunrise.,"['Rock', 'Sad']"
Eternal Dream,1980,2:33,True,Eternal Dream is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Sunrise under the Sunrise,2019,4:53,False,"Sunrise under the Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Lonely Day,2001,2:46,False,"Lonely Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last Night,2008,5:53,False,Last Night is a song that Evokes the essence of happy experiences.,"['Jazz', 'Relax']"
Lonely of the Love,1987,2:53,False,"Lonely of the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Day beyond the Dream,1990,4:38,True,Day beyond the Dream is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Last Love,2020,5:04,False,Last Love is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Last without a Moon,2016,2:55,True,Last without a Moon is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Sunrise under the Love,1993,5:40,False,"Sunrise under the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Lonely Sunset,2009,3:57,True,"Lonely Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Bright Night,2014,5:05,True,Bright Night is a song that A soulful composition that explores the complexity of dream.,"['Pop', 'Love']"
Bright Heart,2000,2:50,False,Bright Heart is a song that A soulful composition that explores the complexity of sunset.,"['Jazz', 'Relax']"
Day beyond the Night,2016,4:25,False,Day beyond the Night is a song that A soulful composition that explores the complexity of sunset.,"['Rock', 'Sad']"
Happy Moon,1984,5:43,False,Happy Moon is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Broken Sunset,1998,5:51,True,Broken Sunset is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Beautiful Heart,1993,5:05,False,"Beautiful Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Dark Dream,2005,4:54,False,Dark Dream is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Heart under the Sunset,1983,3:35,True,Heart under the Sunset is a song that An anthem that resonates with the feeling of heart.,"['Jazz', 'Relax']"
Beautiful Sunset,2004,3:10,False,"Beautiful Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last beyond the Star,2021,2:23,True,Last beyond the Star is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Dark Love,2004,4:14,False,Dark Love is a song that A soulful composition that explores the complexity of sky.,"['Pop', 'Love']"
Eternal Night,1997,4:10,True,"Eternal Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Bright Night,2019,5:56,True,Bright Night is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Happy Day,1987,4:49,False,"Happy Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Dream to the Love,2018,2:50,True,Dream to the Love is a song that Evokes the essence of beautiful experiences.,"['Rock', 'Sad']"
Star without a Sky,2019,2:13,False,Star without a Sky is a song that Evokes the essence of dark experiences.,"['Pop', 'Love']"
Broken Dream,1993,4:17,False,Broken Dream is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Beautiful to the Moon,2011,5:50,True,Beautiful to the Moon is a song that An anthem that resonates with the feeling of moon.,"['Rock', 'Sad']"
Dream of the Dream,2017,4:46,False,Dream of the Dream is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Last Dream,2012,5:06,True,Last Dream is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Eternal Day,2002,2:34,True,Eternal Day is a song that A soulful composition that explores the complexity of day.,"['Rock', 'Sad']"
Sky in the Love,1994,5:08,True,"Sky in the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last Sky,2012,5:51,True,Last Sky is a song that A soulful composition that explores the complexity of moon.,"['Pop', 'Love']"
Heart under the Sunset,2004,2:16,True,Heart under the Sunset is a song that A soulful composition that explores the complexity of night.,"['Rock', 'Sad']"
Happy Heart,1996,2:48,True,Happy Heart is a song that An anthem that resonates with the feeling of star.,"['Rock', 'Sad']"
Lonely to the Sky,2012,2:31,True,Lonely to the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Broken Night,1981,5:18,True,Broken Night is a song that A soulful composition that explores the complexity of moon.,"['Hip-Hop', 'Energetic']"
Happy Star,1993,4:37,False,Happy Star is a song that A soulful composition that explores the complexity of day.,"['Pop', 'Love']"
Night to the Star,2019,4:58,False,"Night to the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Dark Night,2019,2:12,True,Dark Night is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Sunset beyond the Heart,2018,4:45,False,Sunset beyond the Heart is a song that An anthem that resonates with the feeling of sunset.,"['Jazz', 'Relax']"
Dark Love,1985,2:30,False,Dark Love is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Broken Day,1985,4:15,False,Broken Day is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Broken Star,1982,3:31,False,Broken Star is a song that A soulful composition that explores the complexity of sky.,"['Hip-Hop', 'Energetic']"
Final Love,1986,3:28,False,Final Love is a song that An anthem that resonates with the feeling of day.,"['Pop', 'Love']"
Final Night,1987,3:42,False,"Final Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Sky beyond the Star,2021,4:53,True,"Sky beyond the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Last without a Love,1994,3:41,False,"Last without a Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Beautiful Sunset,2008,5:20,False,"Beautiful Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Jazz', 'Relax']"
Last to the Dream,2012,5:11,False,Last to the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Sunset of the Sunset,2009,3:40,False,"Sunset of the Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Eternal in the Heart,2018,5:34,True,Eternal in the Heart is a song that Evokes the essence of bright experiences.,"['Hip-Hop', 'Energetic']"
Happy under the Moon,2006,5:29,True,Happy under the Moon is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Happy Heart,2015,2:29,True,Happy Heart is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Sunset for a Sky,2008,4:34,True,Sunset for a Sky is a song that A soulful composition that explores the complexity of star.,"['Hip-Hop', 'Energetic']"
Happy Heart,2017,4:49,False,Happy Heart is a song that An anthem that resonates with the feeling of sunset.,"['Hip-Hop', 'Energetic']"
Sky without a Star,2012,5:25,True,Sky without a Star is a song that An anthem that resonates with the feeling of dream.,"['Hip-Hop', 'Energetic']"
Night of the Day,2016,2:39,True,"Night of the Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Broken beyond the Sky,2006,4:29,True,Broken beyond the Sky is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Night to the Love,2012,4:02,True,"Night to the Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Moon of the Love,1983,2:35,False,Moon of the Love is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Heart beyond the Star,2001,2:36,True,"Heart beyond the Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Sunset of the Sunrise,1981,2:14,False,Sunset of the Sunrise is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Beautiful beyond the Sunset,1989,2:12,True,Beautiful beyond the Sunset is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
Broken beyond the Sky,1984,5:07,False,Broken beyond the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Broken Day,1989,2:59,False,"Broken Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Beautiful in the Night,2012,5:08,True,Beautiful in the Night is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Bright Night,2017,4:00,True,Bright Night is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Star beyond the Sunset,1992,5:34,True,Star beyond the Sunset is a song that Evokes the essence of last experiences.,"['Pop', 'Love']"
Moon in the Star,2010,3:39,True,Moon in the Star is a song that A soulful composition that explores the complexity of star.,"['Hip-Hop', 'Energetic']"
Star of the Sky,2015,4:08,False,Star of the Sky is a song that An anthem that resonates with the feeling of star.,"['Rock', 'Sad']"
Night for a Day,2003,3:45,False,"Night for a Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
First beyond the Sunset,1994,3:03,True,First beyond the Sunset is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Happy of the Night,2008,3:30,True,Happy of the Night is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Final of the Moon,1987,3:10,False,Final of the Moon is a song that Evokes the essence of beautiful experiences.,"['Hip-Hop', 'Energetic']"
Broken Moon,1984,4:07,True,Broken Moon is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Night beyond the Sky,2008,4:13,False,Night beyond the Sky is a song that A soulful composition that explores the complexity of night.,"['Jazz', 'Relax']"
Dark Night,1983,5:12,True,Dark Night is a song that Evokes the essence of final experiences.,"['Pop', 'Love']"
Eternal Love,1991,2:31,False,Eternal Love is a song that Evokes the essence of eternal experiences.,"['Pop', 'Love']"
Lonely Star,1981,3:44,False,Lonely Star is a song that Evokes the essence of final experiences.,"['Rock', 'Sad']"
Eternal Heart,2006,2:18,False,Eternal Heart is a song that A soulful composition that explores the complexity of moon.,"['Rock', 'Sad']"
Bright for a Love,2010,4:37,False,Bright for a Love is a song that Evokes the essence of last experiences.,"['Rock', 'Sad']"
Heart without a Star,2015,5:01,False,"Heart without a Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Dark Love,2015,5:16,True,Dark Love is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Day for a Sunrise,2005,4:33,False,Day for a Sunrise is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Dark under the Sky,2022,3:59,True,Dark under the Sky is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
Day under the Night,2006,5:37,False,Day under the Night is a song that Evokes the essence of bright experiences.,"['Hip-Hop', 'Energetic']"
Lonely Night,1984,5:01,False,"Lonely Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Dream beyond the Sunrise,1999,3:25,True,Dream beyond the Sunrise is a song that Evokes the essence of eternal experiences.,"['Jazz', 'Relax']"
Lonely beyond the Sunrise,1990,2:55,True,Lonely beyond the Sunrise is a song that A soulful composition that explores the complexity of sky.,"['Rock', 'Sad']"
Sunset beyond the Sunrise,1989,4:30,True,Sunset beyond the Sunrise is a song that Evokes the essence of bright experiences.,"['Rock', 'Sad']"
Star under the Heart,2019,5:33,True,Star under the Heart is a song that Evokes the essence of lonely experiences.,"['Rock', 'Sad']"
Eternal Heart,2017,4:02,False,Eternal Heart is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Sunrise in the Night,1985,5:22,True,Sunrise in the Night is a song that A soulful composition that explores the complexity of sky.,"['Jazz', 'Relax']"
Sky beyond the Heart,1987,3:55,False,Sky beyond the Heart is a song that Evokes the essence of final experiences.,"['Rock', 'Sad']"
Dark Heart,2002,3:54,True,Dark Heart is a song that Evokes the essence of broken experiences.,"['Rock', 'Sad']"
Dark Heart,2005,4:53,True,Dark Heart is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Final Heart,2022,2:38,False,Final Heart is a song that An anthem that resonates with the feeling of sunset.,"['Jazz', 'Relax']"
Last Day,1991,2:38,False,Last Day is a song that An anthem that resonates with the feeling of day.,"['Rock', 'Sad']"
Dream of the Sunrise,2005,2:16,True,"Dream of the Sunrise is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Final under the Moon,1992,2:29,False,Final under the Moon is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Dream of the Day,2019,2:12,False,"Dream of the Day is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Moon in the Moon,1997,2:18,False,Moon in the Moon is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Dark of the Heart,2004,2:18,False,"Dark of the Heart is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Last without a Sunset,2012,2:24,False,Last without a Sunset is a song that An anthem that resonates with the feeling of sky.,"['Pop', 'Love']"
Sunrise of the Day,2019,3:30,False,Sunrise of the Day is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Bright of the Sky,2022,2:54,False,Bright of the Sky is a song that An anthem that resonates with the feeling of dream.,"['Rock', 'Sad']"
Beautiful for a Night,1991,4:31,False,Beautiful for a Night is a song that The track expresses emotions through its rhythmic melody.,"['Jazz', 'Relax']"
Day beyond the Sunset,2023,3:09,True,Day beyond the Sunset is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Last Love,2015,3:35,False,Last Love is a song that This piece reflects the deep themes of life and love.,"['Pop', 'Love']"
Last Heart,1983,5:53,True,Last Heart is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Broken Dream,1984,5:19,False,Broken Dream is a song that A soulful composition that explores the complexity of star.,"['Rock', 'Sad']"
First Star,2016,5:49,False,First Star is a song that The track expresses emotions through its rhythmic melody.,"['Hip-Hop', 'Energetic']"
Sunset without a Love,1987,3:49,False,"Sunset without a Love is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Sunrise in the Dream,2021,5:45,False,"Sunrise in the Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Pop', 'Love']"
Dark of the Star,2007,5:52,True,Dark of the Star is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Last Sunset,2010,5:14,True,"Last Sunset is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
First Sunrise,1988,3:29,False,First Sunrise is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Eternal Heart,2008,4:03,True,Eternal Heart is a song that This piece reflects the deep themes of life and love.,"['Hip-Hop', 'Energetic']"
Bright without a Star,1993,2:58,False,"Bright without a Star is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Sky without a Day,2019,4:07,False,Sky without a Day is a song that A soulful composition that explores the complexity of love.,"['Jazz', 'Relax']"
Happy Dream,2020,3:11,True,"Happy Dream is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Love to the Sunset,2001,4:30,True,Love to the Sunset is a song that A soulful composition that explores the complexity of sunrise.,"['Rock', 'Sad']"
Night under the Sky,1990,3:33,False,Night under the Sky is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Last Moon,2002,3:55,False,Last Moon is a song that An anthem that resonates with the feeling of moon.,"['Hip-Hop', 'Energetic']"
Moon in the Sunset,1980,3:10,True,Moon in the Sunset is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
First Moon,2016,2:11,False,"First Moon is a song that With its haunting lyrics, the song captures the essence of introspection.","['Hip-Hop', 'Energetic']"
Dream in the Night,2000,2:14,True,"Dream in the Night is a song that With its haunting lyrics, the song captures the essence of introspection.","['Rock', 'Sad']"
Lonely Dream,2005,2:30,False,Lonely Dream is a song that The track expresses emotions through its rhythmic melody.,"['Rock', 'Sad']"
Sunrise beyond the Dream,2015,2:57,False,Sunrise beyond the Dream is a song that The track expresses emotions through its rhythmic melody.,"['Pop', 'Love']"
Night beyond the Sunrise,2002,2:25,True,Night beyond the Sunrise is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Day for a Sky,1980,3:31,True,Day for a Sky is a song that This piece reflects the deep themes of life and love.,"['Jazz', 'Relax']"
Bright under the Star,2019,3:37,True,Bright under the Star is a song that Evokes the essence of eternal experiences.,"['Rock', 'Sad']"
Sunrise in the Night,1994,2:22,False,Sunrise in the Night is a song that An anthem that resonates with the feeling of dream.,"['Pop', 'Love']"
Lonely Moon,2000,5:49,False,Lonely Moon is a song that A soulful composition that explores the complexity of love.,"['Hip-Hop', 'Energetic']"
First Star,1988,5:40,False,First Star is a song that Evokes the essence of broken experiences.,"['Hip-Hop', 'Energetic']"
Happy Dream,1988,3:04,False,Happy Dream is a song that This piece reflects the deep themes of life and love.,"['Rock', 'Sad']"
